["q","a"]
["FUCK","U"]
["AVICII","I'LL BE THE SONG"]
["aaa","qqqq"]
["qaz","qaz"]
["The_ChainSmoker"," show them better"]
["qz","qaz"]
["a","q"]
["AVICII","YOU BE LOVE"]
["funck","aaaa"]
["AVICII","WATING FOR LOVE"]
["AVICII"," WAKE ME UP"]
["\u54c8\u54c8","\u50bb\u903c\u4e86\u5427"]
["\u554a\u54c8","\u53c8\u662f\u5230\u5468\u672b\u5566"]
["\u554a\u54c8","\u5468\u672b\u5566"]
["Zedd"," \u543c\u8d5b\u7c7b"]
["\u6211\u64cd"," \u5927\u83e0\u841d"]
["aha","I'm client1"]
["AHA","I'm client2"]
["heng","This time I'm client1"]
["ha","then I'm the two"]
["qaz","zaq"]
["zaq","qaz"]
["\u54c8\u54c8","heng"]
["keke","XLK"]
